,lower,upper,mean,wave,age.group,contact.age.group,text_color,row_num,col_num
1,4.454934785,4.486728356,4.470632014,Wave 9,"[0,17)","[0,17)",up,1,1
2,3.782943911,3.80607542,3.794585771,Wave 9,"[0,17)","[17,70)",up,1,1
3,0.260549802,0.2677496,0.264135132,Wave 9,"[0,17)",70+,low,1,1
4,3.783447347,3.805598384,3.794794247,Wave 9,"[17,70)","[0,17)",up,1,1
5,6.451826968,6.474703875,6.463570577,Wave 9,"[17,70)","[17,70)",up,1,1
6,1.852340543,1.878091867,1.865620501,Wave 9,"[17,70)",70+,up,1,1
7,0.260611509,0.267637439,0.264157189,Wave 9,70+,"[0,17)",low,1,1
8,1.852211391,1.877755794,1.864996544,Wave 9,70+,"[17,70)",up,1,1
9,2.553036745,2.600032876,2.576066891,Wave 9,70+,70+,up,1,1
10,4.869048633,4.905033304,4.886897116,Wave 10,"[0,17)","[0,17)",up,1,2
11,3.97960385,4.001002593,3.990645925,Wave 10,"[0,17)","[17,70)",up,1,2
12,0.203267109,0.208917226,0.206119707,Wave 10,"[0,17)",70+,low,1,2
13,3.979248593,4.001648796,3.990813512,Wave 10,"[17,70)","[0,17)",up,1,2
14,6.402079485,6.425458898,6.414066313,Wave 10,"[17,70)","[17,70)",up,1,2
15,2.270921883,2.299049107,2.284330479,Wave 10,"[17,70)",70+,up,1,2
16,0.203304206,0.208914084,0.206076674,Wave 10,70+,"[0,17)",low,1,2
17,2.270164856,2.29771159,2.283753803,Wave 10,70+,"[17,70)",up,1,2
18,2.184716699,2.223451246,2.203984887,Wave 10,70+,70+,up,1,2
19,4.410809813,4.447960127,4.430064438,Wave 11,"[0,17)","[0,17)",up,1,3
20,3.963934636,3.986751872,3.976176063,Wave 11,"[0,17)","[17,70)",up,1,3
21,0.240188142,0.248809313,0.2443522,Wave 11,"[0,17)",70+,low,1,3
22,3.963407229,3.988423526,3.976176794,Wave 11,"[17,70)","[0,17)",up,1,3
23,6.016957149,6.041622278,6.029512191,Wave 11,"[17,70)","[17,70)",up,1,3
24,1.931200457,1.958886611,1.944937817,Wave 11,"[17,70)",70+,up,1,3
25,0.240199334,0.248929184,0.244494997,Wave 11,70+,"[0,17)",low,1,3
26,1.93114684,1.958758478,1.94504936,Wave 11,70+,"[17,70)",up,1,3
27,2.096876474,2.132223317,2.114640243,Wave 11,70+,70+,up,1,3
28,4.894795003,4.94721385,4.920813604,Wave 12,"[0,17)","[0,17)",up,1,4
29,3.757642838,3.786158455,3.771944329,Wave 12,"[0,17)","[17,70)",up,1,4
30,0.387939539,0.398133659,0.393063383,Wave 12,"[0,17)",70+,low,1,4
31,3.757072807,3.785810072,3.771689379,Wave 12,"[17,70)","[0,17)",up,1,4
32,5.025041804,5.049505661,5.037530229,Wave 12,"[17,70)","[17,70)",up,1,4
33,2.352273827,2.379233506,2.366098355,Wave 12,"[17,70)",70+,up,1,4
34,0.387954008,0.398089633,0.39310464,Wave 12,70+,"[0,17)",low,1,4
35,2.352332817,2.379546215,2.366043032,Wave 12,70+,"[17,70)",up,1,4
36,2.787375643,2.836505678,2.81177825,Wave 12,70+,70+,up,1,4
37,6.248994574,6.297267585,6.272495381,Wave 13,"[0,17)","[0,17)",up,2,1
