,lower,upper,mean,wave,age.group,contact.age.group,text_color,row_num,col_num
1,4.445617304,4.478757903,4.461767903,Wave 9,"[0,17)","[0,17)",up,1,1
2,3.777124758,3.798689697,3.787507016,Wave 9,"[0,17)","[17,70)",up,1,1
3,0.256626301,0.264368423,0.260450436,Wave 9,"[0,17)",70+,low,1,1
4,3.777148691,3.798916929,3.787193699,Wave 9,"[17,70)","[0,17)",up,1,1
5,6.448019289,6.471792102,6.459964003,Wave 9,"[17,70)","[17,70)",up,1,1
6,1.842551819,1.867269069,1.85502266,Wave 9,"[17,70)",70+,up,1,1
7,0.256663122,0.264183239,0.260537198,Wave 9,70+,"[0,17)",low,1,1
8,1.841836755,1.867945098,1.854763602,Wave 9,70+,"[17,70)",up,1,1
9,2.526320684,2.571823305,2.548880602,Wave 9,70+,70+,up,1,1
10,4.996475457,5.030314282,5.012944592,Wave 10,"[0,17)","[0,17)",up,1,2
11,4.072723744,4.095845786,4.084230799,Wave 10,"[0,17)","[17,70)",up,1,2
12,0.214255746,0.220394339,0.217352879,Wave 10,"[0,17)",70+,low,1,2
13,4.073623674,4.096270999,4.0848392,Wave 10,"[17,70)","[0,17)",up,1,2
14,6.608823025,6.631358858,6.620169837,Wave 10,"[17,70)","[17,70)",up,1,2
15,2.342235471,2.3694816,2.356569724,Wave 10,"[17,70)",70+,up,1,2
16,0.214324246,0.2204489,0.217314998,Wave 10,70+,"[0,17)",low,1,2
17,2.341883621,2.37035372,2.356499143,Wave 10,70+,"[17,70)",up,1,2
18,2.289809276,2.3287937,2.308751827,Wave 10,70+,70+,up,1,2
19,4.807695452,4.842887117,4.824803785,Wave 11,"[0,17)","[0,17)",up,1,3
20,4.294748623,4.318708993,4.30635562,Wave 11,"[0,17)","[17,70)",up,1,3
21,0.265637136,0.27554903,0.270822475,Wave 11,"[0,17)",70+,low,1,3
22,4.29396762,4.318559618,4.306366193,Wave 11,"[17,70)","[0,17)",up,1,3
23,6.616563263,6.641338133,6.628715374,Wave 11,"[17,70)","[17,70)",up,1,3
24,2.146931957,2.175925329,2.161063887,Wave 11,"[17,70)",70+,up,1,3
25,0.26562337,0.275506419,0.270654277,Wave 11,70+,"[0,17)",low,1,3
26,2.146957929,2.175232928,2.160991923,Wave 11,70+,"[17,70)",up,1,3
27,2.333511597,2.376209179,2.354613592,Wave 11,70+,70+,up,1,3
28,4.899185387,4.948247174,4.923074599,Wave 12,"[0,17)","[0,17)",up,1,4
29,3.790260212,3.818026068,3.803723401,Wave 12,"[0,17)","[17,70)",up,1,4
30,0.4131993,0.424331659,0.41873837,Wave 12,"[0,17)",70+,low,1,4
31,3.789636201,3.81684344,3.803291693,Wave 12,"[17,70)","[0,17)",up,1,4
32,5.590092081,5.616315058,5.603123941,Wave 12,"[17,70)","[17,70)",up,1,4
33,2.624885509,2.655572188,2.640149276,Wave 12,"[17,70)",70+,up,1,4
34,0.41311817,0.424406938,0.418634762,Wave 12,70+,"[0,17)",low,1,4
35,2.624593481,2.655274211,2.6398258,Wave 12,70+,"[17,70)",up,1,4
36,3.156564845,3.207082329,3.182656014,Wave 12,70+,70+,up,1,4
37,6.440643215,6.488583876,6.465785372,Wave 13,"[0,17)","[0,17)",up,2,1
38,4.633044597,4.662298081,4.647642829,Wave 13,"[0,17)","[17,70)",up,2,1
39,0.696197295,0.710265975,0.703250652,Wave 13,"[0,17)",70+,low,2,1
40,4.633514544,4.661184192,4.647838838,Wave 13,"[17,70)","[0,17)",up,2,1
41,6.192774167,6.220455319,6.206586031,Wave 13,"[17,70)","[17,70)",up,2,1
42,2.829390599,2.857902099,2.843658285,Wave 13,"[17,70)",70+,up,2,1
43,0.696739712,0.710501831,0.703198394,Wave 13,70+,"[0,17)",low,2,1
44,2.830295298,2.858703062,2.844147549,Wave 13,70+,"[17,70)",up,2,1
45,3.450175742,3.509808175,3.479766862,Wave 13,70+,70+,up,2,1
46,7.464502823,7.513767803,7.488519699,Wave 14,"[0,17)","[0,17)",up,2,2
47,4.854940688,4.883628614,4.869669036,Wave 14,"[0,17)","[17,70)",up,2,2
48,0.5157454,0.52881895,0.521969035,Wave 14,"[0,17)",70+,low,2,2
49,4.855365752,4.883751924,4.869681617,Wave 14,"[17,70)","[0,17)",up,2,2
50,6.253981267,6.279401615,6.266823829,Wave 14,"[17,70)","[17,70)",up,2,2
51,2.647434397,2.685608535,2.666319214,Wave 14,"[17,70)",70+,up,2,2
52,0.515392921,0.52802963,0.52169352,Wave 14,70+,"[0,17)",low,2,2
53,2.646858427,2.686431157,2.667117013,Wave 14,70+,"[17,70)",up,2,2
54,3.256290235,3.352639842,3.306366209,Wave 14,70+,70+,up,2,2
